region,branch_name,address,rooms
서울,아늑호텔 홍대점,서울 마포구 동교로 162-7,39
서울,누베르 서울 호텔 이태원 by 아늑,서울 용산구 우사단로14길 11,69
경기,크로와상 호텔 구리 by 아늑,경기 구리시 체육관로 148,46
경기,아늑호텔 구리점,경기 구리시 안골로 81-7,29
경기,고요37호텔 오산 by 아늑,경기 오산시 원동로37번길 35-16,36
경기,아늑호텔 오산점,경기 오산시 대원로 28-4,31
경기,아늑호텔 월곶점,경기 시흥시 월곶중앙로70번안길 18,34
경기,워커스 호텔 안산 by 아늑,경기 안산시 상록구 성호로1길 12-4,37
경기,아늑호텔 일산 탄현점,경기 고양시 일산서구 일현로41번길 8-32,41
경기,아늑료칸호텔 파주 금촌점,경기 파주시 금정14길 41-13,31
경기,심작 호텔 동탄 by 아늑,경기 화성시 동탄구 큰재봉길 31-15,47
인천,아늑호텔 인천 부평점,인천 부평구 경원대로1417번길 18-8,42
인천,아늑호텔 인천 송도점,인천 연수구 인권로9번길 9,55
대전,소륜 호텔 대전 by 아늑,대전 대덕구 대전로 1394,26
대전,노크인 호텔 대전 by 아늑,대전 동구 한밭대로1316번길 35,36
대전,아늑호텔 대전 용전 1호점,대전 동구 한밭대로1316번길 7,21
대전,아늑호텔 대전 용전 2호점,대전 동구 한밭대로1316번길 2,37
대전,타임터미널 호텔 용전 1호점 by 아늑,대전 동구 동서대로1683번길 76-7,42
대전,아늑호텔 대전 유성 1호점,대전 유성구 계룡로123번길 38,35
대전,아늑호텔 대전 유성 2호점,대전 유성구 계룡로123번길 36,38
대전,워커스 호텔 대전월평 by 아늑,대전 서구 한밭대로570번길 29-12,52
충남,소륜 호텔 천안 by 아늑,충남 천안시 동남구 만남의길 21,29
충남,아늑호텔 천안역 1호점,충남 천안시 동남구 양지14길 7,26
충남,아늑호텔 천안역 2호점,충남 천안시 서북구 양지21길 37,43
충남,요수리구리 아늑료칸 천안점,충남 천안시 서북구 양지9길 8,26
충북,아늑호텔 청주우암 1호점,충북 청주시 청원구 사북로149번길 36,30
충북,아늑호텔 청주우암 2호점,충북 청주시 청원구 사북로143번길 32,26
경북,노마드 아늑호텔 구미점,경북 구미시 인동중앙로3길 38-5,30
경북,오브젝트 아늑호텔 구미점,경북 구미시 인동중앙로3길 20,40
전북,아늑호텔 전주점,전북 전주시 덕진구 산정3길 37,31
부산,아늑호텔 부산남포점,부산 중구 대청로126번길 33,36
경기,아늑호텔 앤 스파 평택점,경기 평택시 송탄로 446,46
서울,심도 호텔 앤 스파 신림역 by 아늑,서울 관악구 남부순환로181길 7,44
대전,스테이 패스포트 후쿠오카 대전유성점,대전 유성구 계룡로155번길 26-7,10
서울,스테이 패스포트 익스프레스 당산점,서울 영등포구 양평로 92-1,8
충북,아늑 료칸 앤드 아늑 에어 청주점,충북 청주시 흥덕구 풍년로205번길 49,47
서울,아늑호텔 영등포점,서울 영등포구 영중로10길 10,59
서울,스테이 패스포트 신당 료칸 신당점,서울 중구 난계로11길 33,7
서울,아늑 호텔 앤 스파 서울 종로 안국 1호점,서울 종로구 돈화문로11가길 89 시티파크,38
인천,스테이 패스포트 모로코 스파 인천송도점,인천 연수구 능허대로191번길 9,11
경기,아늑료칸호텔 안산 1&2호점,경기 안산시 단원구 부부로 62,56
대전,아늑 호텔 앤드 스파 대전유성점,대전 유성구 장대로 16-18,62
서울,온도 호텔 앤 스파 by 아늑 서울 종로점,서울 종로구 수표로18길 10,54
서울,누베르 호텔 앤 스파 by 아늑 서울종로점,서울 종로구 종로31길 46-8,29
서울,케이브 료칸 호텔 by 아늑 성신여대점,서울 성북구 아리랑로2길 18,22
경기,아늑료칸호텔 송탄점,경기 평택시 관광특구로 24,47
경기,아늑료칸호텔 수원점,경기 수원시 권선구 서부로1934번길 38,46
충남,미타스야 료칸 호텔 by 아늑 천안점,충남 천안시 동남구 신부2길 34,35
서울,소원 료칸 앤 호텔 by 아늑 상봉점,서울 중랑구 상봉로28길 13,30
경기,스테이 패스포트 에어플레인 구리점,경기 구리시 체육관로172번길 50-7,12
경기,아늑호텔 수원역점,경기 수원시 팔달구 향교로3번길 52,71
서울,스테이 패스포트 료칸 삿포로 서울 홍대,서울 마포구 홍익로 3-28,8
경기,A.P.T by 아늑 안산점,경기 안산시 상록구 선진4길 20,32
서울,아늑호텔 앤 스파 서울 성수 건대점,서울 광진구 동일로 212,50
인천,스테이 패스포트 오키나와 료칸 인천 부평,인천 부평구 대정로82번길 9,13
경기,스테이 패스포트 나고야 료칸 안양 평촌,경기도 안양시 동안구 흥안대로 84-12,12
경기,미타스야 료칸 호텔 by 아늑 평택역점,경기 평택시 자유로8번길 8,30
경기,아늑 호텔 앤 스파 서울 종로 안국 2호점,서울 종로구 돈화문로11가길 83,30
서울,루프 서울 바이 아늑 서울 강남1,서울특별시 강남구 도곡로23길 7,18
서울,스테이 패스포트 도쿄 료칸 서울사당,서울 관악구 승방2길 21,16
서울,루프 서울 호텔 앤 스파 바이 아늑 서울 홍대,서울 서대문구 동교로 294,14
서울,루프 서울 리트리트 바이 아늑 강남1,서울 강남구 역삼동 798-27,20
서울,스테이 패스포트 이태원,서울 용산구 이태원로17길 10-4,4
대전,아늑료칸호텔 대전 대흥,대전광역시 중구 대흥동 31-7,36
서울,아늑료칸호텔 은평불광,서울 은평구 대조동 15-56,29
충북,프롬에이치 어바웃호텔 충주점,충북 충주시 연수상가길 16,31
대전,프롬에이치 에이스호텔 by 아늑,대전 유성구 계룡로141번길 13-21,45
대전,아늑에어 호텔 대전 문창점,대전 중구 문창로94번길 28,29
경기,아늑호텔 수원 인계점,경기 수원시 팔달구 인계로94번길 29,42
서울,아늑호텔 신촌점,서울 서대문구 연세로2길 49,38
인천,미타스야 료칸 호텔 by 아늑 인천서구청역,인천 서구 서곶로301번길 20,51
대전,타임터미널 호텔 용전 2호점 by 아늑,대전 동구 동서대로1683번길 76-9,25
경기,아늑에어 호텔 가평점,경기 가평군 조종면 조종희망로5번길 6,36
경남,아늑에어 호텔 진주성점,경남 진주시 진주대로1134번길 6-1,33
세종,아늑호텔 세종점,세종시 나성로 33-10,44
강원,아늑에어 호텔 춘천점,강원특별자치도 춘천시 중앙로67번길 13,34
대전,미타스야 료칸 호텔 by 아늑 대전용전점,대전 동구 한밭대로1316번길 29,15
경기,미타스야 료칸 호텔 by 아늑 평택송탄역,경기 평택시 지산로5번길 28,21
대전,아늑료칸호텔 대전용전,대전광역시 동구 용전동 66-2,36
경기,미타스야 료칸 호텔 by 아늑 수원인계,경기 수원시 팔달구 권광로207번길 23,45
대전,호텔 드레 대전유성점,대전 유성구 계룡로123번길 12,33
부산,부산 메종드센텀 호텔,부산 수영구 수영로680번길 14,29
경기,호텔 얌 파주금촌점,경기 파주시 금정20길 15-8,30
대전,아늑호텔 대전 대흥점,대전 중구 대종로460번길 11,22
충북,청주 딕셔너리 호텔,충북 청주시 흥덕구 풍년로150번길 38,36
경남,호텔야자 마산오동점,경남 창원시 마산합포구 해안대로 399,40
부산,아이비 호텔 부산 서면,부산 부산진구 서면로 15-14,55
전남,프롬에이치 헤리티지 호텔 목포 평화광장점,전남 목포시 원형서로 22,42
충북,프롬에이치 뉴베라 호텔 청주,충북 청주시 흥덕구 풍년로193번길 32,50
경기,프롬에이치 제이 호텔 오산점,경기 오산시 오산로212번길 34,45
경기,이천 아늑에어 호텔 설봉호수점,경기도 이천시 경충대로2709번길 8,23
경기,프롬에이치 마루호텔 포천점,경기 포천시 소흘읍 민락로 622,40
대전,대전 아늑에어 대전역점,대전 중구 은행동 112-3,33
전북,아늑료칸호텔 전주점,전북 전주시 덕진구 용산2길 17,28
부산,고움료칸호텔 by 아늑 부산기장점,부산광역시 기장군 정관읍 산단1로 98-41,37
경북,경주 브라운도트 양남점,경북 경주시 양남면 양남로 279,21
서울,신촌 로컬프렌즈 호텔,서울 서대문구 연세로2나길 24,18
서울,프롬에이치 어스 호텔 위드 아늑 서울 강서화곡점,서울 강서구 강서로5가길 24-1,48
전남,무어호텔 목포점,전남 목포시 하당남부로61번길 29,40
경기,안산 데일리호텔,경기 안산시 단원구 고잔로 120,29
전남,목포 우인호텔,전남 목포시 영산로 119,46
전북,브라운도트호텔 전주중화산점,전북 전주시 완산구 한두평2길 14-6,46
광주,광주 더블유라운지,광주 서구 상무중앙로38번길 20,41
서울,스테이 패스포트 익스프레스 경성 청량리점,서울 동대문구 홍릉로3길 6-5,12
서울,아늑호텔 청량리점,서울 동대문구 약령시로 122-7,32
경기,프롬에이치 아모레미오 더클래식 수원역,경기도 수원시 팔달구 향교로3번길 36,58
경북,하운드 호텔 영일대점,경북 포항시 남구 송도해안길 58,36
대전,미타스야 료칸 호텔 by 아늑 대전 유성,대전 유성구 봉명동 663-3,33
충남,미타스야 료칸 호텔 by 아늑 공주동학사점,충남 공주시 반포면 임금봉길 97,30
경기,동두천 글렌스테이,경기도 동두천시 정장로17번길 25,12
충남,천안 엔유,충남 천안시 서북구 양지8길 6,30
경기,이천 XYM 호텔,경기 이천시 경충대로2529번길 1,35
충남,프롬에이치 동백호텔 by Kwon 천안성정,충남 천안시 서북구 성정공원3길 9,38
경기,부천 모모 호텔,경기 부천시 원미구 상일로122번길 24,42
서울,호텔 작 인사동 by 아늑,서울 종로구 인사동14길 48,13
대전,대전 유성 낙원 온천 by아늑,대전 유성구 온천북로 76,36
전남,프롬에이치 루벤스호텔 목포평화광장점,전남 목포시 평화로61번길 4,43
경북,문경 사담재,경상북도 문경시 문경읍 온천강변1길 29,10
충남,케이브 료칸 호텔 by 아늑 천안터미널,충남 천안시 동남구 신부3길 29,20
대전,아늑료칸호텔 대전유성점,대전광역시 유성구 봉명동 447-15,29
대전,케이브 료칸 호텔 by 아늑 대전 유성,대전광역시 유성구 봉명동 449-3,21
경남,김해 더반 호텔,경남 김해시 삼계로55번길 13,40
경북,포항 에이치에비뉴 영일대,경북 포항시 북구 해안로 75-1,42
서울,스테이 헬로,서울 마포구 토정로3안길 7 2층,8
경기,프롬에이치 아모레미오빈티지 수원역,경기 수원시 팔달구 향교로3번길 36,32
경남,동백호텔 고현점,경남 거제시 서문로 48-1 2~6층,32
경남,동백호텔 옥포점,경남 거제시 옥포대첩로 10 1~3층,22
대전,아늑호텔 대전 선화점,대전시 중구 선화동 236-20,28
대전,아늑호텔 대전 유성온천 3,대전 유성구 봉명동 449-2,
대전,케이브 료칸 호텔 by 아늑 대전 유천 서남부터미널,대전 중구 유천동 331-12,
부산,서면 이음재,부산 부산진구 가야대로784번길 46-14,12
